question;answer
Dimana lokasi SDIT Al-Asror Gedangsari?;SDIT Al-Asror Gedangsari berlokasi di Jalan Suru Lor Hargomulyo Kecamatan Gedangsari Kabupaten Gunungkidul Daerah Istimewa Yogyakarta
Apa visi utama dari SDIT Al-Asror?;Visi sekolah adalah menjadi lembaga yang berkualitas di bidang keimanan dan ketaqwaan serta memiliki budi pekerti luhur dan berprestasi
Siapa nama Kepala Sekolah SDIT Al-Asror Gedangsari?;Kepala sekolah SDIT Al-Asror saat ini dijabat oleh Putri Puthu Sundari S.Pd.
Berapa jumlah total SDM yang mengelola SDIT Al-Asror?;Sekolah dikelola oleh 8 orang SDM yang terdiri dari 1 Kepala Sekolah kemudian 6 orang Guru dan 1 orang Tenaga Kependidikan
Apa tujuan dari pengembangan platform crowdfunding JejakKita?;Platform ini dikembangkan untuk meningkatkan transparansi dan akuntabilitas dalam pengelolaan dana pembangunan sekolah
Teknologi apa yang digunakan untuk membangun sistem backend admin chatbot?;Sistem dibangun menggunakan framework Laravel 10 dan toolkit Filament V3 untuk mempercepat pembangunan panel administrasi
Apa saja contoh program pembangunan infrastruktur yang sedang dijalankan?;Beberapa program pembangunan yang dijalankan antara lain Pembangunan Lapangan dan Pembangunan Kelas serta Pembangunan Toilet
Apa yang melatarbelakangi pembuatan sistem informasi crowdfunding digital?;Latar belakangnya adalah tantangan proses penggalangan dana konvensional yang menyebabkan redundansi data dan risiko kesalahan pencatatan
Siapa saja mitra strategis SDIT Al-Asror dalam bidang kesehatan?;Sekolah bermitra dengan Puskesmas Gedangsari 1 untuk melakukan skrining kesehatan rutin dan imunisasi siswa
Apa saja layanan ekstrakurikuler yang tersedia di sekolah?;Layanan ekstrakurikuler meliputi Kepramukaan serta Keagamaan seperti Tahfidz dan Baca Tulis Iqro hingga Kesenian Hadroh
Apa keunggulan menggunakan MySQL sebagai database dalam sistem ini?;MySQL digunakan karena kemampuannya menangani basis data skala besar dengan kecepatan tinggi dan konektivitas yang aman
Apa kualifikasi pendidikan mayoritas tenaga pengajar di SDIT Al-Asror?;Mayoritas tenaga pengajar memiliki latar belakang pendidikan sarjana S1 dengan bidang keahlian PAI atau PG PAUD dan Tafsir
Bagaimana cara donatur melakukan verifikasi pembayaran di sistem lama?;Pada proses lama donatur harus mengirimkan bukti transfer secara manual melalui WhatsApp kepada admin untuk diverifikasi
Apa fungsi utama dari website profil sekolah yang dibangun?;Website berfungsi sebagai media promosi dan informasi publik mengenai visi misi sejarah serta fasilitas sekolah
Berapa alokasi waktu untuk projek penguatan profil pelajar pancasila?;Alokasi waktu untuk projek penguatan profil pelajar pancasila adalah sekitar 20 hingga 30 persen dari total jam pelajaran per tahun